page,query,clicks,impressions,avg_position
https://www.zenspatropicana.com/massages,zen spa tropicana atlantic city,0,2,1
https://www.zenspatropicana.com/monthly-specials-and-offers,zen spa tropicana,2,61,1.0
https://www.zenspatropicana.com/monthly-specials-and-offers,tropicana spa atlantic city,1,51,4.2
https://www.zenspatropicana.com/monthly-specials-and-offers,zen spa tropicana atlantic city,1,132,1.8
https://www.zenspatropicana.com/monthly-specials-and-offers,a zen spa,0,1,10
https://www.zenspatropicana.com/monthly-specials-and-offers,breathe salt spa tropicana,0,5,10.4
https://www.zenspatropicana.com/monthly-specials-and-offers,head spa atlantic city,0,5,9.2
https://www.zenspatropicana.com/monthly-specials-and-offers,massage tropicana,0,10,4
https://www.zenspatropicana.com/monthly-specials-and-offers,sea spa atlantic city,0,2,10
https://www.zenspatropicana.com/monthly-specials-and-offers,sea spa sanctuary at tropicana,0,1,9
https://www.zenspatropicana.com/monthly-specials-and-offers,sea spa tropicana atlantic city,0,3,10.7
https://www.zenspatropicana.com/monthly-specials-and-offers,spa at tropicana,0,8,3.8
https://www.zenspatropicana.com/monthly-specials-and-offers,spa at tropicana atlantic city,0,32,6.4
https://www.zenspatropicana.com/monthly-specials-and-offers,spa in tropicana atlantic city,0,19,3.7
https://www.zenspatropicana.com/monthly-specials-and-offers,spa tropicana,0,22,3.9
https://www.zenspatropicana.com/monthly-specials-and-offers,spa tropicana atlantic city,0,35,4.7
https://www.zenspatropicana.com/monthly-specials-and-offers,tropicana ac spa,0,31,3.8
